full_ticker,ticker,name,name_short,name_eng,listed_data,market,security_category,related_department,preferred,face_value,shares_available,corp_code,corp_code2,industry_code
KR7122830003,122830,원포유,원포유,ONE4U,2020/10/23,KONEX,주권,일반기업부,보통주,500,6550397,00337296,00337296,61210
KR7008370009,008370,원풍,원풍,WonpoongCorporation,1992/12/18,KOSDAQ,주권,중견기업부,보통주,500,12000000,00144012,00144012,22212
KR7008290009,008290,원풍물산,원풍물산,WonpungMulsan,1997/07/18,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,40693679,00144021,00144021,14111
KR7101160000,101160,월덱스,월덱스,"WORLDEX INDUSTRY & TRADING CO., LTD",2008/06/19,KOSDAQ,주권,우량기업부,보통주,500,16510993,00580065,00580065,262
KR7095270005,095270,웨이브일렉트로닉스,웨이브일렉트로,"Wave Electronics Co., Ltd.",2007/09/12,KOSDAQ,주권,관리종목(소속부없음),보통주,500,14971256,00526696,00526696,272
KR7010600005,010600,웰바이오텍보통주,웰바이오텍,WELLBIOTEC,1997/07/18,KOSPI,주권,,보통주,500,58677244,00141273,00141273,461
KR7065950008,065950,웰크론,웰크론,Welcron Company Limited,2003/07/29,KOSDAQ,주권,우량기업부,보통주,500,28231302,00362159,00362159,13219
KR7076080001,076080,웰크론한텍,웰크론한텍,"WELCRON HANTEC CO.,LTD.",2008/07/18,KOSDAQ,주권,중견기업부,보통주,500,20816746,00487546,00487546,411
KR7196700009,196700,웹스,웹스,"WAPS Co., Ltd.",2015/08/24,KOSDAQ,주권,벤처기업부,보통주,500,14364144,00864338,00864338,20203
KR7069080000,069080,웹젠,웹젠,Webzen Inc.,2003/05/23,KOSDAQ,주권,우량기업부,보통주,500,35310884,00405320,00405320,5821
KR7053580007,053580,웹케시,웹케시,WebCash Corporation,2019/01/25,KOSDAQ,주권,우량기업부,보통주,500,13786248,00323868,00323868,582
KR7071460000,071460,위니아딤채,위니아딤채,"WINIADIMCHAE Co.,Ltd.",2016/07/14,KOSDAQ,주권,중견기업부,보통주,500,35967295,00300557,00300557,28519
KR7044340008,044340,위닉스,위닉스,WINIX INC.,2000/10/24,KOSDAQ,주권,우량기업부,보통주,500,17873425,00293886,00293886,28519
KR7330350000,330350,위더스제약,위더스제약,"Withus Pharmaceutical. Co., LTD",2020/07/03,KOSDAQ,주권,우량기업부,보통주,200,13188622,00765851,00765851,21210
KR7348350000,348350,위드텍,위드텍,"WITHTECH, Inc.",2020/10/30,KOSDAQ,주권,우량기업부,보통주,500,10183600,00925587,00925587,27213
KR7112040001,112040,위메이드,위메이드,"Wemade Co., Ltd.",2009/12/18,KOSDAQ,주권,중견기업부,보통주,500,16800000,00444329,00444329,5821
KR7101730000,101730,위메이드맥스,위메이드맥스,Wemade Max,2009/06/03,KOSDAQ,주권,관리종목(소속부없음),보통주,500,15795635,00643656,00643656,5821
KR7065370009,065370,위세아이텍,위세아이텍,"WISE iTech Co., Ltd.",2020/02/10,KOSDAQ,주권,중견기업부,보통주,500,6575874,00374738,00374738,58221
KR7140660002,140660,위월드 주식회사,위월드,"WIWORLD Co.,Ltd",2013/12/26,KONEX,주권,일반기업부,보통주,500,2487252,00663289,00663289,26429
